,gene_id,gene_name
0,ENSG00000239945,RP11-34P13.8
1,ENSG00000223764,RP11-54O7.3
2,ENSG00000187634,SAMD11
3,ENSG00000187642,PERM1
4,ENSG00000188290,HES4
5,ENSG00000187608,ISG15
6,ENSG00000273443,RP11-54O7.18
7,ENSG00000237330,RNF223
8,ENSG00000223823,LINC01342
9,ENSG00000205231,TTLL10-AS1
10,ENSG00000186891,TNFRSF18
11,ENSG00000186827,TNFRSF4
12,ENSG00000169962,TAS1R3
13,ENSG00000235098,ANKRD65
14,ENSG00000189409,MMP23B
15,ENSG00000269737,RP11-345P4.7
16,ENSG00000169885,CALML6
17,ENSG00000271806,RP5-892K4.1
18,ENSG00000234396,RP11-181G12.4
19,ENSG00000149527,PLCH2
20,ENSG00000272449,RP3-395M20.12
21,ENSG00000238164,RP3-395M20.8
22,ENSG00000157873,TNFRSF14
23,ENSG00000215912,TTC34
24,ENSG00000078900,TP73
25,ENSG00000235169,SMIM1
26,ENSG00000272153,RP1-286D6.5
27,ENSG00000116254,CHD5
28,ENSG00000225077,LINC00337
29,ENSG00000158292,GPR153
30,ENSG00000069812,HES2
31,ENSG00000187017,ESPN
32,ENSG00000173662,TAS1R1
33,ENSG00000270171,RP11-338N10.1
34,ENSG00000049249,TNFRSF9
35,ENSG00000232912,RP5-1115A15.1
36,ENSG00000228423,RP4-633I8.4
37,ENSG00000074800,ENO1
38,ENSG00000131686,CA6
39,ENSG00000180758,GPR157
40,ENSG00000228526,MIR34AHG
41,ENSG00000234546,RP3-510D11.2
42,ENSG00000049239,H6PD
43,ENSG00000179840,PIK3CD-AS1
44,ENSG00000280113,AL357140.1
45,ENSG00000142657,PGD
46,ENSG00000175262,C1orf127
47,ENSG00000277726,RP4-635E18.9
48,ENSG00000009724,MASP2
49,ENSG00000271895,RP4-635E18.8
50,ENSG00000116649,SRM
51,ENSG00000162490,DRAXIN
52,ENSG00000177000,MTHFR
53,ENSG00000162493,PDPN
54,ENSG00000175147,TMEM51-AS1
55,ENSG00000233485,RP3-467K16.2
56,ENSG00000228140,RP3-467K16.4
57,ENSG00000142634,EFHD2
58,ENSG00000142615,CELA2A
59,ENSG00000215704,CELA2B
60,ENSG00000271742,RP4-680D5.9
61,ENSG00000224621,RP11-276H7.3
62,ENSG00000261135,RP4-798A10.7
63,ENSG00000271732,RP5-1182A14.5
64,ENSG00000280226,AC004824.2
65,ENSG00000230424,RP1-43E13.2
66,ENSG00000188257,PLA2G2A
67,ENSG00000117215,PLA2G2D
68,ENSG00000187980,PLA2G2C
69,ENSG00000117242,PINK1-AS
70,ENSG00000236936,RP3-329E20.2
71,ENSG00000142789,CELA3A
72,ENSG00000070831,CDC42
73,ENSG00000162552,WNT4
74,ENSG00000173369,C1QB
75,ENSG00000249087,ZNF436-AS1
76,ENSG00000235052,RP1-150O5.3
77,ENSG00000117318,ID3
78,ENSG00000197880,MDS2
79,ENSG00000117305,HMGCL
80,ENSG00000179163,FUCA1
81,ENSG00000188822,CNR2
82,ENSG00000142677,IL22RA1
83,ENSG00000230023,RP11-10N16.2
84,ENSG00000020633,RUNX3
85,ENSG00000233755,RP4-799D16.1
86,ENSG00000231953,RP4-706G24.1
87,ENSG00000117614,SYF2
88,ENSG00000117616,RSRP1
89,ENSG00000233478,RP1-187B23.1
90,ENSG00000182749,PAQR7
91,ENSG00000117632,STMN1
92,ENSG00000158008,EXTL1
93,ENSG00000158022,TRIM63
94,ENSG00000142669,SH3BGRL3
95,ENSG00000169442,CD52
96,ENSG00000176083,ZNF683
97,ENSG00000198830,HMGN2
98,ENSG00000117713,ARID1A
99,ENSG00000226698,RP1-50O24.6
100,ENSG00000090273,NUDC
101,ENSG00000142765,SYTL1
102,ENSG00000000938,FGR
103,ENSG00000126709,IFI6
104,ENSG00000130775,THEMIS2
105,ENSG00000227050,RP11-460I13.2
106,ENSG00000169403,PTAFR
107,ENSG00000271398,RP5-1092A3.5
108,ENSG00000130766,SESN2
109,ENSG00000116329,OPRD1
110,ENSG00000233427,RP1-212P9.3
111,ENSG00000162511,LAPTM5
112,ENSG00000121769,FABP3
113,ENSG00000223907,LINC01226
114,ENSG00000235790,RP11-73M7.6
115,ENSG00000134668,SPOCD1
116,ENSG00000224066,RP4-622L5.7
117,ENSG00000222046,DCDC2B
118,ENSG00000183615,FAM167B
119,ENSG00000182866,LCK
120,ENSG00000175130,MARCKSL1
121,ENSG00000162526,TSSK3
122,ENSG00000160058,BSDC1
123,ENSG00000224409,RP11-114B7.6
124,ENSG00000121900,TMEM54
125,ENSG00000255811,RP1-34M23.5
126,ENSG00000271741,RP11-244H3.4
127,ENSG00000126067,PSMB2
128,ENSG00000092853,CLSPN
129,ENSG00000232335,RP11-435D7.3
130,ENSG00000116871,MAP7D1
131,ENSG00000214193,SH3D21
132,ENSG00000119535,CSF3R
133,ENSG00000233621,LINC01137
134,ENSG00000134690,CDCA8
135,ENSG00000158315,RHBDL2
136,ENSG00000127603,MACF1
137,ENSG00000226438,RP11-420K8.1
138,ENSG00000183682,BMP8A
